obs,time,elapsed,date,hhmmss,averaging,Plot,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,Tled,Pc,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,A:MN,A:SLP,A:SD,A:OK,gsw:MN,gsw:SLP,gsw:SD,gsw:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
,s,s,,,s,,s,mol m⁻² s⁻¹,mmol m⁻² s⁻¹,µmol m⁻² s⁻¹,µmol mol⁻¹,µmol mol⁻¹,Pa,Pa,mol m⁻² s⁻¹,mol m⁻² s⁻¹,mol m⁻² s⁻¹,mol m⁻² s⁻¹,W m⁻²,°C,°C,kPa,%,kPa,kPa,kPa,W m⁻²,W m⁻²,W m⁻²,W m⁻²,µmol s⁻¹,%,,%,µmol s⁻¹,µmol m⁻² s⁻¹,µmol m⁻² s⁻¹,,J/µmol,cm²,,,mol m⁻² s⁻¹,s,µmol mol⁻¹,µmol mol⁻¹,mmol mol⁻¹,mmol mol⁻¹,µmol mol⁻¹,mmol mol⁻¹,µmol s⁻¹,kPa,kPa,°C,°C,°C,°C,°C,rpm,µmol m⁻² s⁻¹,µmol m⁻² s⁻¹,µmol mol⁻¹,µmol mol⁻¹,µmol mol⁻¹,mmol mol⁻¹,µmol mol⁻¹,mmol mol⁻¹,kPa,kPa,°C,°C,µmol m⁻² s⁻¹,,,°C,,secs,,s,s,,µmol/mol,mmol/mol,µmol/mol,mmol/mol,µmol/mol,mmol/mol,%,%,µmol m⁻² s⁻¹,µmol m⁻² s⁻¹ min⁻¹,µmol m⁻² s⁻¹,,mol m⁻² s⁻¹,mol m⁻² s⁻¹ min⁻¹,mol m⁻² s⁻¹,,,,,V,V,,,,,,,,,,,,,V,V,mV,mV,°C,°C,%,°C,mmol mol⁻¹,%,%,,V,V,V,V,V,V,V,mg,mg,mg,hrs,V,V,V,V,V,V,V,V,V,V,V,V,,,,,,,V,%,%,µmol/mol,mmol/mol,mmol/mol,,,,mmol/mol,,,,µmol mol⁻¹,µmol mol⁻¹,mmol mol⁻¹,mmol mol⁻¹,min,min,V,V,V,V,V,V,°C,V,,µmol s⁻¹,µmol s⁻¹,°C,°C,°C,°C,°C,%,%,%,°C,µmol mol⁻¹,mmol mol⁻¹,%,%
1,1657290235,0,20220708 08:23:54,08:23:54,15,n1,1657290227,0.001343749,1.343749489,3.913752369,417.9234667,348.4484091,29.84391828,35.79431979,0.103552806,3.213588374,0.101734143,0.063744579,11.210411,22.68428966,22.83923667,2.792401336,60.16155145,1.690731995,2.810319805,1.101669341,-59.25935245,18.2941481,1.178780605,-28.57601274,0,0,1,0,45857.74723,62.98869,53.58510967,0.850710019,0.177974983,1.8,0.5,0: Broadleaf,2,1657290227,417.9234667,419.2660667,19.74046667,19.3453,413.4554667,19.52446667,600.0004667,85.54801333,0.10001232,22.94483,22.83923667,999.9,0,0,10000.578,19.46422,63.03544,-1.278585333,426.4113333,427.5368333,0.410116367,419.2660667,19.3453,1.690036333,1.654952333,14.80521333,14.48021667,62.98869,0.643000333,0.3569997,21,1052.031667,1657290252,08:24:12,1657290252,1657290252,2,-0.064,-0.006,4.468,0.216,418,19,0.89,0.2,0,0,0,0,0,0,0,0,0,0,0,3.23774,2.78136,0.083381,0.0853892,0.0897094,0.0906852,23377.1,23090.4,24503.6,22477.1,32934.4,26113.9,40024.6,31178.4,2.25285,2.36882,0.0528991,0,21.9651,999.9,73,23.4,24.6521,63.64,9.64343,2,-0.29986,-1.11745,20.3804,5.23361,11.9381,4.97975,3.2818,5635.4,9999,9999,151.3,4.97162,1.86115,1.8667,1.85781,1.86242,1.86296,1.86377,1.85974,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.468,0.216,4.383087773,0.000678439,-9.11497E-07,3.42204E-10,0.100309393,-0.010294497,0.000932414,-3.19983E-06,1,2092,0,27,1,1,1.26587,2.35107,2.14966,2.75024,2.15088,2.34009,27.7455,16.1809,19,620.847,749.399,23.9987,23.3212,29.9996,23.2487,23.2053,25.3586,27.174,75.9236,24,420,19.3941,101.244,102.199
2,1657290839,603.9000001,20220708 08:33:58,08:33:58,15,c1,1657290831,0.000665335,0.665334665,3.95673599,419.0432667,284.8891833,24.40000584,35.88994863,0.05035561,3.213580014,0.049921328,0.031239536,11.53841647,22.39778239,22.60413333,2.752864522,59.99711874,1.640663072,2.734569769,1.11220145,-29.34125874,-19.02117522,-1.221374883,-38.04539237,0,0,1,0,45927.48797,64.83201333,55.15321762,0.850709623,0.177974058,1.2,0.5,0: Broadleaf,2,1657290831,419.0432667,419.8903667,19.15602667,19.02551,414.5632667,18.95002667,600.0056667,85.54731333,0.10004455,22.49434333,22.60413333,999.9,0,0,10000.62467,20.13820667,64.67276333,-0.873987833,427.2021333,428.0338667,0.135923767,419.8903667,19.02551,1.639209,1.627581667,14.33241333,14.22243333,64.83201333,0.643012567,0.356987433,20,1082.825,1657290858,08:34:17,1657290858,1657290855,4,0.026,-0.004,4.48,0.206,420,19,0.32,0.1,0,0,0,0,0,0,0,0,0,0,0,3.23855,2.78133,0.083657,0.0855987,0.0880325,0.0898449,23407.9,23095.2,24540.9,22484.8,33046.1,26145.6,40086.2,31188.3,2.2632,2.37002,0.0719503,0,21.4066,999.9,69.1,24,24.1921,63.57,10.1442,2,-0.349901,-1.42629,20.378,5.23017,11.9381,4.9797,3.28188,5653.2,9999,9999,151.4,4.97162,1.86127,1.86676,1.85791,1.86245,1.86298,1.86377,1.85977,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.48,0.206,4.304179344,0.000678439,-9.11497E-07,3.42204E-10,0.093430284,-0.010294497,0.000932414,-3.19983E-06,1,2092,0,27,4.5,4.5,1.35132,2.36084,2.14966,2.73926,2.15088,2.35962,28.4584,16.1371,19,622.172,742.974,23.9996,22.6687,29.9997,22.7211,22.7055,27.0799,24.1419,70.2907,24,420,19.1045,101.399,102.232
3,1657291110,874.9000001,20220708 08:38:29,08:38:29,15,s1,1657291102,0.00144679,1.446789844,3.414445884,418.5628,359.2446561,30.76723251,35.84748936,0.109005764,3.210436253,0.106990591,0.067047072,10.78819778,22.2558878,22.70071,2.76904593,59.81996239,1.640729937,2.742779954,1.128315993,-63.80343212,-27.17660785,-1.748048896,-81.93989109,0,0,1,0,45861.53898,60.61591667,51.56659847,0.850710528,0.17797632,2,0.5,0: Broadleaf,2,1657291102,418.5628,419.9026333,19.15750667,18.68454333,414.1038,18.96450667,600.0773667,85.54540667,0.09882489,22.54369333,22.70071,999.9,0,0,9987.625667,18.61904667,61.41069333,-1.3604587,426.7212,427.8976667,0.4829597,419.9026333,18.68454333,1.639691333,1.598377,14.33683333,13.94315667,60.61591667,0.6429824,0.3570176,20,1012.391433,1657291131,08:38:51,1657291129,1657291131,6,0.021,0.001,4.459,0.193,420,19,0.61,0.2,0,0,0,0,0,0,0,0,0,0,0,3.23854,2.78136,0.0836006,0.0856328,0.0881738,0.0885852,23417.2,23090.5,24548.8,22480.9,33051.7,26176.5,40099.4,31181.8,2.25845,2.36628,0.0774562,0,21.4226,999.9,67.7,24.2,23.9887,63.4101,10.6611,2,-0.355358,-1.31227,20.379,5.23406,11.9381,4.9797,3.28198,5660.9,9999,9999,151.5,4.9716,1.86126,1.86676,1.85791,1.86249,1.86303,1.86379,1.85975,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.459,0.193,4.2893268,0.000678439,-9.11497E-07,3.42204E-10,0.084713192,-0.010294497,0.000932414,-3.19983E-06,1,2092,0,27,0.3,0.3,1.35864,2.36572,2.14966,2.7356,2.15088,2.37793,28.6901,16.1284,19,617.298,737.679,24.0004,22.5998,30,22.6078,22.5861,27.2156,24.4983,67.6722,24,420,18.6645,101.432,102.212
4,1657291163,927.9000001,20220708 08:39:22,08:39:22,15,s1,1657291155,0.001529855,1.529854601,4.055077968,418.4167667,353.1332539,30.24480205,35.83613875,0.115798259,3.211637475,0.113527769,0.071155142,11.85517119,22.23255486,22.69386,2.767895478,59.95401971,1.643473907,2.741223884,1.12442157,-67.46658788,-27.61848649,-1.775660994,-85.00556418,0,0,1,0,45885.27574,66.61151667,56.66707622,0.850709893,0.177974797,2,0.5,0: Broadleaf,2,1657291155,418.4167667,419.9818333,19.18892667,18.68876,413.9697667,18.99492667,599.9993333,85.54691,0.10008506,22.53435,22.69386,999.9,0,0,9992.501667,20.60295667,66.54423,-1.552666,426.6198333,427.9801333,0.5105331,419.9818333,18.68876,1.64244,1.598766333,14.36283,13.94688667,66.61151667,0.6430026,0.356997367,20,1112.540333,1657291182,08:39:41,1657291182,1657291180,7,-0.013,0,4.447,0.194,420,19,0.56,0.1,0,0,0,0,0,0,0,0,0,0,0,3.23868,2.78119,0.0836038,0.0856424,0.0880281,0.0884862,23418,23090,24549.6,22480.6,33058.2,26179.2,40100.9,31181.6,2.26,2.36667,0.0762567,0,21.4398,999.9,67.5,24.2,23.9151,63.2101,10.5889,2,-0.356489,-1.31124,20.3792,5.23406,11.9381,4.97955,3.2818,5662.3,9999,9999,151.5,4.97161,1.86127,1.86676,1.85791,1.86247,1.86308,1.86378,1.85977,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.447,0.194,4.310279802,0.000678439,-9.11497E-07,3.42204E-10,0.085418186,-0.010294497,0.000932414,-3.19983E-06,1,2092,0,27,0.6,0.5,1.35864,2.3645,2.14966,2.73438,2.15088,2.36938,28.7112,16.1371,19,618.205,737.731,23.9999,22.588,30,22.5884,22.5649,27.2289,24.2254,67.302,24,420,18.7434,101.436,102.212
5,1657291578,1342.9,20220708 08:46:17,08:46:17,15,control,1657291570,0.000801853,0.80185343,6.913118589,417.5808,199.5111617,17.08893892,35.76748652,0.052948978,3.214296762,0.052469148,0.032835966,144.1089643,24.26548314,24.19719667,3.030635988,59.86051378,1.758230953,2.937213268,1.272405036,-35.36173626,-90.28307838,-5.877918443,12.58623125,0,0,1,0,45757.90272,809.7145333,688.8322798,0.850710036,0.177975025,2,0.5,0: Broadleaf,2,1657291570,417.5808,419.9968667,20.52712,20.26531333,413.4918,20.29112,599.9799,85.55406333,0.09998618,23.6762,24.19719667,999.9,0,0,10002.85033,248.6147333,809.7525,-2.394522667,426.3565667,428.6842667,0.267249033,419.9968667,20.26531333,1.756644,1.733779333,15.40624,15.20221,809.7145333,0.642999767,0.357000267,23,13523.75667,1657291598,08:46:38,1657291598,1657291594,9,-0.022,0.001,4.089,0.236,420,20,0.26,0.11,0,0,0,0,0,0,0,0,0,0,0,3.23716,2.78119,0.0833469,0.08546,0.0921672,0.093547,23368,23037.9,24494.8,22429,32837.9,25974,40016.4,31109.2,2.2477,2.34325,0.0718869,0,23.0292,999.9,66.3,24.8,24.3484,63.6501,10.6611,2,-0.259431,-0.468807,20.3753,5.23032,11.9381,4.9784,3.2807,5673.9,9999,9999,151.6,4.97164,1.86142,1.86691,1.85809,1.8626,1.86315,1.86388,1.85995,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.089,0.236,3.961637608,0.000678439,-9.11497E-07,3.42204E-10,0.093148553,-0.010294497,0.000932414,-3.19983E-06,1,2092,0,27,0.6,0.6,1.36353,2.37549,2.14966,2.73438,2.15088,2.37793,30.5662,16.1109,19,620.355,729.706,24.0015,23.7731,30.0014,23.5283,23.4857,27.3256,19.5954,66.93,24,420,20.2075,101.218,101.975
23,1657293641,3406.5,20220708 09:20:41,09:20:41,15,n2,1657293633,0.004713682,4.7136818,17.39684843,413.2104194,298.8384476,25.59332632,35.38844879,0.277788004,3.213268454,0.265102774,0.166780672,213.5686337,25.91104811,26.5580871,3.487309558,60.09510029,2.013435985,3.350416216,1.473873573,-207.8733674,-117.4295566,-7.825468444,-119.5597587,0,0,1,0,45392.3844,1199.992258,1020.845419,0.850710004,0.17797501,2.1,0.5,0: Broadleaf,2,1657293633,413.2104194,419.9810968,23.50972581,21.89870645,409.6774194,23.18955484,599.9937419,85.54270323,0.099979371,25.88021935,26.5580871,999.9,0,0,9997.785161,359.3838387,641.0412258,-6.74079871,423.1893871,429.3840968,1.611003548,419.9810968,21.89870645,2.011085161,1.873275806,17.53188387,16.41203548,1199.992258,0.642999871,0.357000129,30,20042.14839,1657293659,09:20:59,1657293659,1657293605,28,-0.031,-0.002,3.533,0.275,420,22,0.17,0.09,0,0,0,0,0,0,0,0,0,0,0,3.23228,2.78109,0.0818224,0.0844818,0.100179,0.0977861,23241.9,22897.2,24338.7,22281.5,32356.9,25683.4,39777.7,30899.3,2.19018,2.22088,0.0337176,0,26.0153,999.9,54.4,31.6,29.6836,63.9038,11.9992,2,0.0692403,1.23646,20.3665,5.22598,11.9381,4.97745,3.2805,5729.8,9999,9999,152.2,4.97174,1.86172,1.86722,1.85867,1.86279,1.8634,1.86416,1.86035,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.533,0.3199,3.414362729,0.000678439,-9.11497E-07,3.42204E-10,0.097391049,-0.010294497,0.000932414,-3.19983E-06,1,2092,0,27,0.5,0.6,1.37085,2.40845,2.14966,2.70996,2.15088,2.40112,37.53,15.9795,19,629.167,680.909,24.0004,28.1529,29.9997,28.0775,28.0486,27.4551,27.4572,51.5113,24,420,21.8311,100.598,101.294
24,1657293995,3759.9,20220708 09:26:34,09:26:34,15,c2,1657293987,0.001834671,1.834671367,10.21776097,415.8849032,250.8806798,21.48729825,35.61949434,0.106665719,3.213595654,0.104737173,0.065631101,213.5703661,26.24293841,26.29159677,3.432920971,60.35778122,1.980051235,3.280523563,1.452869736,-80.90900728,-132.8580917,-8.825149322,-9.021882144,0,0,1,0,45445.76744,1200.00129,1020.853182,0.850710071,0.177975114,2.25,0.5,0: Broadleaf,2,1657293987,415.8849032,420.0026774,23.11861613,22.44652258,412.3089032,22.82761613,600.0022903,85.54745161,0.100029358,25.52474516,26.29159677,999.9,0,0,9997.053226,359.7967097,804.3075806,-4.161056129,425.691129,429.6466129,0.691311645,420.0026774,22.44652258,1.97938129,1.920241935,17.28034516,16.80154839,1200.00129,0.642998581,0.357001452,29,20042.2871,1657294015,09:26:54,1657294015,1657294012,29,0.042,0,3.576,0.291,420,22,0.39,0.14,0,0,0,0,0,0,0,0,0,0,0,3.23216,2.78134,0.0821847,0.0844462,0.0988993,0.0993766,23220.2,22879.5,24326.3,22264,32387.8,25617.6,39758.3,30874.4,2.18455,2.21502,0.0438169,0,25.56,999.9,52.5,31.9,29.1374,64.0639,13.3373,2,0.0920478,1.00508,20.3692,5.22972,11.9394,4.9777,3.281,5739.4,9999,9999,152.3,4.97172,1.86167,1.8672,1.85853,1.86279,1.8634,1.8641,1.86029,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.576,0.291,3.383890211,0.000678439,-9.11497E-07,3.42204E-10,0.097391049,-0.010294497,0.000932414,-3.19983E-06,1,2092,0,27,5.6,6.5,1.37329,2.42065,2.14966,2.7063,2.15088,2.38892,36.7417,15.9445,19,627.255,678.639,23.9993,28.3486,30.0005,28.294,28.2815,27.5182,24.7199,45.8907,24,420,22.3706,100.548,101.214
25,1657294292,4056.9,20220708 09:31:31,09:31:31,15,s2,1657294284,0.004291908,4.291907937,15.83232749,412.9725161,301.4467671,25.81797943,35.36981348,0.258642958,3.213441982,0.247609237,0.155707884,213.5700568,25.66873546,26.24067097,3.422612146,60.461682,1.984926454,3.282949446,1.437685692,-189.27314,-121.8725978,-8.094255613,-105.6699366,0,0,1,0,45442.37269,1200.000645,1020.852556,0.850710006,0.177974952,2.4,0.5,0: Broadleaf,2,1657294284,412.9725161,420.0149032,23.17569677,21.49860645,409.5345161,22.86233871,599.9590968,85.54694516,0.099949239,25.53719355,26.24067097,999.9,0,0,9996.770968,357.9188387,865.8749032,-7.001412903,422.8125161,429.2430968,1.677100645,420.0149032,21.49860645,1.982610323,1.839139355,17.30610645,16.12337419,1200.000645,0.643000742,0.35699929,29,20042.29677,1657294312,09:31:51,1657294312,1657294262,31,-0.042,0.003,3.438,0.269,420,21,0.24,0.04,0,0,0,0,0,0,0,0,0,0,0,3.23165,2.78127,0.0816689,0.0843369,0.098794,0.0961858,23215.4,22864.4,24309.3,22248.1,32371.3,25690.1,39732.4,30851.5,2.1781,2.20375,0.0469014,0,25.4812,999.9,50.2,32.1,28.1783,63.6139,13.1931,2,0.126827,1.13862,20.3682,5.22852,11.9393,4.9775,3.281,5747.5,9999,9999,152.4,4.9717,1.86163,1.86714,1.85852,1.86278,1.8634,1.86407,1.86024,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.438,0.3109,3.330682743,0.000678439,-9.11497E-07,3.42204E-10,0.099604863,-0.010294497,0.000932414,-3.19983E-06,1,2092,0,27,0.4,0.5,1.37573,2.42065,2.14966,2.70508,2.15088,2.40845,36.2459,15.9182,19,627.077,674.012,24,28.8071,30.0007,28.7285,28.7124,27.5557,25.1264,40.9974,24,420,21.4812,100.481,101.14
26,1657294585,4349.9,20220708 09:36:24,09:36:24,15,s3,1657294577,0.002145005,2.145005136,13.99808175,414.7390645,213.2589301,18.26675068,35.52458547,0.118551685,3.214739994,0.116175377,0.072819145,213.5688637,27.03315378,27.04003226,3.587583631,59.60910648,2.058207381,3.452840518,1.52937625,-94.59472652,-112.7244931,-7.545861737,-1.296217646,0,0,1,0,45342.32766,1199.991935,1020.845229,0.850710075,0.177975249,2.1,0.5,0: Broadleaf,2,1657294577,414.7390645,419.9499032,24.02896452,23.29623226,411.2930645,23.72096452,599.9834194,85.55533548,0.099931913,26.38962258,27.04003226,999.9,0,0,10002.49677,360.145871,1238.424194,-5.235282581,424.9353226,429.9665806,0.755880452,419.9499032,23.29623226,2.057786129,1.993117419,17.89612903,17.38976129,1199.991935,0.642996581,0.357003387,31,20042.0871,1657294607,09:36:46,1657294607,1657294602,33,0.024,-0.002,3.446,0.308,420,23,0.29,0.1,0,0,0,0,0,0,0,0,0,0,0,3.23125,2.78094,0.0818903,0.0843007,0.101656,0.101882,23208,22863.1,24308.9,22247,32268.5,25526.4,39732.7,30849.2,2.17353,2.2048,0.0169463,0,26.8067,999.9,48.9,32.1,27.4457,63.9839,13.0649,2,0.138361,2.17483,20.3567,5.22732,11.939,4.9772,3.28075,5755.5,9999,9999,152.5,4.97166,1.86157,1.86708,1.85849,1.86274,1.86331,1.86402,1.8602,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,3.446,0.308,3.273080602,0.000678439,-9.11497E-07,3.42204E-10,0.093400051,-0.010294497,0.000932414,-3.19983E-06,1,2092,0,27,0.4,0.5,1.38062,2.4231,2.14966,2.70386,2.15088,2.42065,35.801,15.8657,19,626.811,678.507,24.0042,29.1694,30.0003,29.0262,29.0023,27.6683,16.2835,40.3201,24,420,23.3599,100.481,101.133
