Time,Hourofday,Plot,Light,C
0.4792,11.5008,EDE,2016,N
0.4896,11.7504,EDE,2043,N
0.5,12,EDE,2065,N
0.5104,12.2496,EDE,2094,N
0.5208,12.4992,EDE,1688,N
0.5313,12.7512,EDE,126.3,N
0.5417,13.0008,EDE,123.9,N
0.5521,13.2504,EDE,124.5,N
0.5625,13.5,EDE,120,N
0.5729,13.7496,EDE,121,N
0.5833,13.9992,EDE,111.7,N
0.5938,14.2512,EDE,111.8,N
0.6042,14.5008,EDE,115.1,N
0.6146,14.7504,EDE,112,N
0.625,15,EDE,117.2,N
0.6354,15.2496,EDE,83.4,N
0.6458,15.4992,EDE,99.8,N
0.6563,15.7512,EDE,109.7,N
0.6667,16.0008,EDE,137.2,N
0.6771,16.2504,EDE,123.3,N
0.6875,16.5,EDE,117.5,N
0.6979,16.7496,EDE,106.6,N
0.7083,16.9992,EDE,195.6,N
0.7188,17.2512,EDE,185.1,N
0.7292,17.5008,EDE,191.4,N
0.7396,17.7504,EDE,96.5,N
0.75,18,EDE,192,N
0.7604,18.2496,EDE,192,N
0.7708,18.4992,EDE,107.9,N
0.7813,18.7512,EDE,92.8,N
0.7917,19.0008,EDE,70.6,N
0.8021,19.2504,EDE,59.84,N
0.8125,19.5,EDE,92.1,N
0.8229,19.7496,EDE,44.11,N
0.8333,19.9992,EDE,26.97,N
0.8438,20.2512,EDE,10.56,N
0.8542,20.5008,EDE,3.699,N
0.8646,20.7504,EDE,0.807,N
0.875,21,EDE,0.269,N
0.8854,21.2496,EDE,0.269,N
0.8958,21.4992,EDE,0.269,N
0.9063,21.7512,EDE,0.336,N
0.9167,22.0008,EDE,0.269,N
0.9271,22.2504,EDE,0.269,N
0.9375,22.5,EDE,0.269,N
0.9479,22.7496,EDE,0.269,N
0.9583,22.9992,EDE,0.269,N
0.9688,23.2512,EDE,0.269,N
0.9792,23.5008,EDE,0.269,N
0.9896,23.7504,EDE,0.202,N
0,0,WDE,0.269,N
0.0104,0.2496,WDE,0.269,N
0.0208,0.4992,WDE,0.269,N
0.0313,0.7512,WDE,0.269,N
0.0417,1.0008,WDE,0.269,N
0.0521,1.2504,WDE,0.337,N
0.0625,1.5,WDE,0.269,N
0.0729,1.7496,WDE,0.269,N
0.0833,1.9992,WDE,0.269,N
0.0938,2.2512,WDE,0.202,N
0.1042,2.5008,WDE,0.269,N
0.1146,2.7504,WDE,0.269,N
0.125,3,WDE,0.269,N
0.1354,3.2496,WDE,0.202,N
0.1458,3.4992,WDE,0.202,N
0.1563,3.7512,WDE,0.202,N
0.1667,4.0008,WDE,0.269,N
0.1771,4.2504,WDE,0.269,N
0.1875,4.5,WDE,0.202,N
0.1979,4.7496,WDE,0.269,N
0.2083,4.9992,WDE,0.269,N
0.2188,5.2512,WDE,0.876,N
0.2292,5.5008,WDE,4.647,N
0.2396,5.7504,WDE,14.62,N
0.25,6,WDE,29.1,N
0.2604,6.2496,WDE,39.94,N
0.2708,6.4992,WDE,72.67,N
0.2813,6.7512,WDE,55.3,N
0.2917,7.0008,WDE,58.18,N
0.3021,7.2504,WDE,63.5,N
0.3125,7.5,WDE,72.46,N
0.3229,7.7496,WDE,461.5,N
0.3333,7.9992,WDE,666.6,N
0.3438,8.2512,WDE,743.4,N
0.3542,8.5008,WDE,79.15,N
0.3646,8.7504,WDE,80.6,N
0.375,9,WDE,83.7,N
0.3854,9.2496,WDE,83.3,N
0.3958,9.4992,WDE,85.1,N
0.4063,9.7512,WDE,85.6,N
0.4167,10.0008,WDE,86.9,N
0.4271,10.2504,WDE,88.1,N
0.4375,10.5,WDE,90.2,N
0.4479,10.7496,WDE,91.6,N
0.4583,10.9992,WDE,91.5,N
0.4688,11.2512,WDE,93.7,N
0.4792,11.5008,WDE,93.2,N
0.4896,11.7504,WDE,100.5,N
0.5,12,WDE,104.2,N
0.5104,12.2496,WDE,139.7,N
0.5208,12.4992,WDE,106.4,N
0.5313,12.7512,WDE,109.9,N
0.5417,13.0008,WDE,120.3,N
0.5521,13.2504,WDE,118.4,N
0.5625,13.5,WDE,136.9,N
0.5729,13.7496,WDE,1977,N
0.5833,13.9992,WDE,1962,N
0.5938,14.2512,WDE,1931,N
0.6042,14.5008,WDE,1965,N
0.6146,14.7504,WDE,1769,N
0.625,15,WDE,1901,N
0.6354,15.2496,WDE,1796,N
0.6458,15.4992,WDE,1782,N
0.6563,15.7512,WDE,1723,N
0.6667,16.0008,WDE,1414,N
0.6771,16.2504,WDE,1433,N
0.6875,16.5,WDE,1200,N
0.6979,16.7496,WDE,1182,N
0.7083,16.9992,WDE,1150,N
0.7188,17.2512,WDE,883,N
0.7292,17.5008,WDE,755.8,N
0.7396,17.7504,WDE,162.6,N
0.75,18,WDE,126.1,N
0.7604,18.2496,WDE,126.1,N
0.7708,18.4992,WDE,156.3,N
0.7813,18.7512,WDE,97.8,N
0.7917,19.0008,WDE,91.7,N
0.8021,19.2504,WDE,218.4,N
0.8125,19.5,WDE,63.07,N
0.8229,19.7496,WDE,105.2,N
0.8333,19.9992,WDE,34.09,N
0.8438,20.2512,WDE,11.7,N
0.8542,20.5008,WDE,4.372,N
0.8646,20.7504,WDE,0.874,N
0.875,21,WDE,0.269,N
0.8854,21.2496,WDE,0.336,N
0.8958,21.4992,WDE,0.269,N
0.9063,21.7512,WDE,0.269,N
0.9167,22.0008,WDE,0.269,N
0.9271,22.2504,WDE,0.269,N
0.9375,22.5,WDE,0.336,N
0.9479,22.7496,WDE,0.336,N
0.9583,22.9992,WDE,0.336,N
0.9688,23.2512,WDE,0.202,N
0.9792,23.5008,WDE,0.202,N
0.9896,23.7504,WDE,0.269,N
0,0,Beneath,0.269,N
0.0104,0.2496,Beneath,0.269,N
0.0208,0.4992,Beneath,0.269,N
0.0313,0.7512,Beneath,0.269,N
0.0417,1.0008,Beneath,0.269,N
0.0521,1.2504,Beneath,0.269,N
0.0625,1.5,Beneath,0.202,N
0.0729,1.7496,Beneath,0.202,N
0.0833,1.9992,Beneath,0.202,N
0.0938,2.2512,Beneath,0.202,N
0.1042,2.5008,Beneath,0.269,N
