,Season,Growing season,Month,Date,Control.mean,Control_2.mean,plot1.mean,plot2.mean,plot3.mean,plot4.mean,plot1.15.mean,plot2.15.mean,plot3.15.mean,plot4.15.mean,AirTC.mean,RH.mean,Control.std.error,Control_2.std.error,plot1.std.error,plot2.std.error,plot3.std.error,plot4.std.error,plot1.15.std.error,plot2.15.std.error,plot3.15.std.error,plot4.15.std.error,AirTC.std.error,RH.std.error,1dcon,2dcon,3dcon,4dcon,1dcon.std.error,2dcon.std.error,3dcon.std.error,4dcon.std.error,plot1frac,plot2frac,plot3frac,plot4frac,controlfrac
11,Cool,Y,May,5/23/2022,NA,NA,0.343236111,0.363302083,0.276265625,0.390159722,0.356354167,0.347635417,0.228864583,0.392850694,11.1693125,70.67447917,NA,NA,0.000141947,0.000157502,7.25E-05,8.42E-05,0.000242068,0.000166965,9.81E-05,0.000245866,0.417685148,1.957334536,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.000242068,0.000166965,9.81E-05,0.000245866,0.330118055,0.378968749,0.323666667,0.38746875,#VALUE!
12,Cool,Y,May,5/24/2022,NA,NA,0.342586806,0.363864583,0.275119792,0.394614583,0.355190972,0.34575,0.228572917,0.393284722,8.940364583,81.06125,NA,NA,0.00071762,0.001098606,9.03E-05,0.001422206,0.00083718,0.001153085,0.000242766,0.001653235,0.387179881,1.83753482,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.00083718,0.001153085,0.000242766,0.001653235,0.32998264,0.381979166,0.321666667,0.395944444,#VALUE!
13,Cool,Y,May,5/25/2022,NA,NA,0.353184028,0.38246875,0.274197917,0.416440972,0.367111111,0.361010417,0.232395833,0.413829861,13.33636458,62.37739583,NA,NA,0.000285359,0.000129906,0.000194423,0.000187869,0.000399978,0.000239926,0.000297183,0.000188355,0.870006812,2.956883225,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.000399978,0.000239926,0.000297183,0.000188355,0.339256945,0.403927083,0.316000001,0.419052083,#VALUE!
14,Cool,Y,May,5/26/2022,NA,NA,0.348381944,0.378427083,0.276505208,0.4120625,0.362107639,0.35428125,0.234010417,0.406579861,18.16034375,54.44177083,NA,NA,0.000299324,0.000128029,0.000271599,0.000209794,0.000433673,0.000249431,0.000330302,0.000176276,1.016332015,2.891131191,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.000433673,0.000249431,0.000330302,0.000176276,0.334656249,0.402572916,0.318999999,0.417545139,#VALUE!
15,Cool,Y,May,5/27/2022,NA,NA,0.342423611,0.3714375,0.279328125,0.406586806,0.355923611,0.345635417,0.235083333,0.397461806,19.75129167,53.77385417,NA,NA,0.000286492,0.000261496,0.000213424,0.000249597,0.000277594,0.000266606,0.000225276,0.000409392,1.011105921,2.776757754,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.000277594,0.000266606,0.000225276,0.000409392,0.328923611,0.397239583,0.323572917,0.415711806,#VALUE!
16,Cool,Y,May,5/28/2022,NA,NA,0.333940972,0.362552083,0.28003125,0.398336806,0.34803125,0.335708333,0.234317708,0.381347222,18.186875,53.5740625,NA,NA,0.000275546,0.000262774,0.000150075,0.000241951,0.000215623,0.000238285,0.000160884,0.000298792,0.843002892,2.595257139,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.000215623,0.000238285,0.000160884,0.000298792,0.319850694,0.389395833,0.325744792,0.41532639,#VALUE!
17,Cool,Y,May,5/29/2022,NA,NA,0.326777778,0.354895833,0.279234375,0.394954861,0.339784722,0.326791667,0.233348958,0.37625,14.56911458,65.65625,NA,NA,0.000223589,0.000286188,9.42E-05,0.000771012,0.000196086,0.000260699,0.000122814,0.001280153,0.508420461,2.086258451,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.000196086,0.000260699,0.000122814,0.001280153,0.313770834,0.382999999,0.325119792,0.413659722,#VALUE!
18,Cool,Y,May,5/30/2022,NA,NA,0.327100359,0.352806452,0.276752688,0.403827957,0.339458781,0.328548387,0.232166667,0.392207885,12.6432043,56.70322581,NA,NA,0.000183524,0.000431155,0.000117094,0.000305891,0.000247207,0.00016923,9.89E-05,0.000317118,0.528164467,2.6237624,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.000247207,0.00016923,9.89E-05,0.000317118,0.314741937,0.377064517,0.321338709,0.415448029,#VALUE!
19,Cool,Y,May,5/31/2022,NA,NA,0.324288194,0.343590278,0.283166667,0.40325,0.333170139,0.355638889,0.239803819,0.392072917,8.656666667,78.11875,NA,NA,0.0010574,0.001226251,0.001087416,0.001675416,0.001257957,0.004102128,0.001259332,0.00225195,0.560827665,1.893965876,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.001257957,0.004102128,0.001259332,0.00225195,0.315406249,0.331541667,0.326529515,0.414427083,#VALUE!
20,Cool,Y,June,6/1/2022,NA,NA,0.388434028,0.360944444,0.293527778,0.444010417,0.405364583,0.429152778,0.251375,0.427427083,10.25025,80.33364583,NA,NA,0.000547836,0.000138801,6.62E-05,0.000121761,0.00069044,0.000181632,0.000120332,0.000251589,0.4452959,1.757684264,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.00069044,0.000181632,0.000120332,0.000251589,0.371503473,0.29273611,0.335680556,0.460593751,#VALUE!
