"","Plot","Timepoint","gsw.mean","gsw.std.error"
"1","1",1,0.0430228571428571,0.0149567799014496
"2","1",2,0.0762493333333333,0.00778707085851641
"3","1",3,0.106804888888889,0.0174456522126132
"4","1",4,0.0725320714285714,0.00952930938624245
"5","1",5,0.0366573,0.00937251194012458
"6","2",1,0.139739307692308,0.0175190980311614
"7","2",2,0.09029475,0.00506108059656475
"8","2",3,0.142784181818182,0.0211240464868479
"9","2",4,0.0665526875,0.0146656346270566
"10","2",5,0.0877942,0.0175454271242775
"11","3",1,0.106305777777778,0.0253834378213968
"12","3",2,0.0772289090909091,0.00949976494298153
"13","3",3,0.1763577,0.0221034682598053
"14","3",4,0.0796347142857143,0.0135716282350264
"15","3",5,0.0952233,0.0104589779063518
"16","4",1,0.0635158181818182,0.0146815056843748
"17","4",2,0.0853625454545455,0.017411018210716
"18","4",3,0.110069666666667,0.0127742601406662
"19","4",4,0.0744882,0.00852656083585985
"20","4",5,0.067089,0.0129433080804973
